@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
44,'2017/02/12 15:43:23:911',1,411.666687,401.005768,37.305851,318.223511,426.276764,64.144714,272.580505,430.121094,68.235497,229.651062,431.183502,66.713707,151.066116,433.963135,61.249184,389.239227,252.889359,61.265686,477.812439,214.926239,81.029259,542.31665,207.21344,83.445335,588.501038,212.07724,80.93663,666.969666,212.411041,73.339355,0,0,0,0
45,'2017/02/12 15:43:23:961',1,415.135864,401.772827,37.445541,321.382965,429.578339,64.222595,274.979431,432.335083,68.354286,231.319397,432.7724,66.856064,154.265839,436.245575,61.330521,391.27063,252.723312,60.970268,477.439392,214.281311,80.940849,542.096069,206.341644,83.43924,588.13855,211.50116,80.896973,666.71814,210.731903,73.338806,0,0,0,0
46,'2017/02/12 15:43:24:011',1,415.2341,400.835876,37.309105,321.654419,429.13028,64.200882,274.868622,432.121918,68.344658,231.140594,432.465454,66.864548,155.141418,437.039551,61.313812,393.203918,252.05011,60.893948,478.429993,212.189117,80.82946,543.840637,203.792389,83.327728,589.399841,210.41095,80.687912,667.28949,208.92868,73.120857,0,0,0,0
47,'2017/02/12 15:43:24:061',1,415.004425,400.366333,37.267586,321.304535,428.057861,64.17028,274.255371,431.183594,68.318817,231.364853,432.059235,66.815712,154.618286,436.248474,61.284569,396.531006,251.915237,60.637524,479.001251,210.204254,80.540024,545.227844,201.708099,83.092041,590.156128,210.287689,80.321587,667.477966,208.092773,72.803482,0,0,0,0
48,'2017/02/12 15:43:24:112',1,413.687195,398.890991,37.155872,321.108002,425.811066,64.015053,274.287415,429.307617,68.173981,231.586777,430.615845,66.679115,154.814102,435.344696,61.177723,398.956696,251.02121,60.399345,479.278656,208.611481,80.319778,546.222656,200.370544,82.937851,590.277344,210.353943,80.063927,667.405762,207.871918,72.599297,0,0,0,0
49,'2017/02/12 15:43:24:161',1,412.535889,396.199219,37.002262,320.651306,422.781189,63.892563,274.000427,426.658295,68.046745,231.754456,428.61911,66.539879,155.081039,433.694092,61.061329,400.699097,250.423233,60.192413,479.025208,207.798065,80.19606,546.154175,199.855438,82.902359,589.695435,210.61734,80.000458,666.825562,208.449463,72.60997,0,0,0,0
50,'2017/02/12 15:43:24:211',1,411.947235,394.331299,37.01263,320.70282,420.431549,64.025665,274.069641,424.232422,68.199539,232.354233,426.830536,66.682549,155.625183,431.772095,61.256035,403.082489,250.337738,59.922192,479.567596,207.219025,80.15181,546.785645,199.020294,82.991119,589.886902,210.78241,80.102272,666.643555,209.76474,72.777252,0,0,0,0
51,'2017/02/12 15:43:24:261',1,411.040863,392.833405,36.904427,320.516754,418.685181,64.027237,273.628357,422.064453,68.236992,232.947708,425.563293,66.69046,156.380371,430.236084,61.329155,404.924469,250.484009,59.484428,479.310913,207.236511,80.0466,546.582336,198.64798,82.992233,589.538818,211.526428,79.994522,666.232849,209.368561,72.786331,0,0,0,0
52,'2017/02/12 15:43:24:311',1,410.762238,392.744843,36.828148,320.713928,418.428986,63.977188,273.714783,421.783875,68.200165,233.48761,425.551147,66.643486,156.993576,430.06781,61.315845,405.954407,250.221741,59.155029,478.738281,207.215942,79.874863,545.975891,198.755066,82.883308,588.658691,212.715088,79.74926,665.421875,209.459076,72.6548,0,0,0,0
53,'2017/02/12 15:43:24:362',1,410.864441,392.856873,36.799805,321.207886,418.787476,63.946606,273.896973,422.235138,68.174706,234.229614,426.101135,66.601349,157.148773,429.936829,61.312519,407.326019,250.439117,58.802937,477.916809,206.854736,79.612244,545.077148,198.509277,82.683167,587.486145,213.915741,79.395599,664.120789,209.642822,72.454086,0,0,0,0
54,'2017/02/12 15:43:24:410',1,411.066193,393.432678,36.790527,321.69577,419.323303,63.909401,274.069763,422.770325,68.145248,234.536163,426.559021,66.569656,157.293106,430.114075,61.297031,408.172089,250.730865,58.647026,478.078125,206.587311,79.496727,545.131165,198.135895,82.597786,587.150513,214.283112,79.284348,664.038696,209.574585,72.440826,0,0,0,0
55,'2017/02/12 15:43:24:462',1,411.147644,393.654144,36.760986,321.989197,419.70752,63.884968,274.371521,423.420288,68.117233,234.663345,426.890961,66.55629,157.254379,430.241302,61.296898,408.739014,250.91832,58.691814,477.875671,206.413086,79.448921,544.982361,198.027985,82.547531,586.524658,214.648865,79.194748,663.334961,209.930084,72.369476,0,0,0,0
56,'2017/02/12 15:43:24:512',1,411.694641,394.163666,36.730633,322.391235,420.531921,63.856667,274.885712,424.476898,68.070984,234.67131,427.252167,66.535439,157.069977,430.661163,61.26403,408.909241,251.609482,58.616776,477.936646,206.69751,79.442657,545.10968,198.510498,82.573883,585.988647,215.932281,79.18869,662.847534,211.608307,72.398827,0,0,0,0
57,'2017/02/12 15:43:24:562',1,413.226776,394.897827,36.795856,322.339935,421.372742,63.888397,274.98645,425.395752,68.048195,234.235107,427.77243,66.500023,156.743698,431.301575,61.156963,406.494446,254.283844,59.097206,478.300537,209.303436,79.887375,545.763184,201.679138,82.959808,585.826782,219.729187,79.55159,662.466797,216.086212,72.714485,0,0,0,0
58,'2017/02/12 15:43:24:612',1,413.817902,395.91803,36.818314,322.0047,422.263458,63.926041,275.05896,426.507202,68.045319,233.665787,428.526672,66.500816,156.154373,431.993347,61.13158,403.065826,256.579132,59.345642,477.775085,211.43396,80.053177,545.400818,204.437012,83.020752,585.092651,222.561493,79.578941,661.293091,219.278107,72.638092,0,0,0,0
59,'2017/02/12 15:43:24:662',1,414.041351,396.408081,36.798252,321.645264,422.739655,63.945145,275.042053,427.221924,68.033554,233.40593,429.126953,66.485954,155.465225,432.324005,61.11499,398.235901,259.429504,60.143772,478.40979,213.386688,80.458229,546.581604,206.978394,83.226135,585.27771,225.231689,79.835648,662.857971,221.561768,72.771713,0,0,0,0
60,'2017/02/12 15:43:24:712',1,414.415131,396.604309,36.638493,321.430115,423.435852,63.958313,274.585144,427.717255,68.041595,233.098846,429.686127,66.475403,157.046127,434.745605,61.040546,393.902527,263.293091,60.538078,477.600037,216.244598,80.597404,545.812622,209.910431,83.223648,586.284363,221.885864,80.316818,662.539917,223.858276,72.727699,0,0,0,0
61,'2017/02/12 15:43:24:764',1,414.669403,396.517914,36.572186,321.413574,423.503632,63.970062,274.503082,427.685791,68.048637,233.840607,430.195282,66.433037,157.447021,434.9758,61.026077,391.834961,264.151917,60.75972,476.371582,216.864563,80.591286,544.105225,210.835846,83.207016,585.532227,221.098663,80.481064,662.779907,224.278015,72.864815,0,0,0,0
